NaN,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
-0.049958,-0.426503215,-0.507571284,-0.58768975,-0.665517529,-0.739674147,-0.808963307,-0.872467403,-0.929569785,-0.979940639,-1.02350181,-1.060383656,-1.090878948,-1.115399194,-1.134434743,-1.148520666,-1.158208258,-1.164042497,-1.166544623,-1.16619962,-1.163447858,-1.158680125,-1.152235223,-1.144399552,-1.135407926,-1.125445348,-1.11464926,-1.103111999,-1.090883259,-1.077972525,-1.064351315,-1.049955332,-1.034686808,-1.018417176,-1.000990414,-0.982227344,-0.96193147,-0.939896793,-0.91591809,-0.889804011,-0.861388771,-0.830528543,-0.797086948,-0.76092125,-0.721876294,-0.679788104,-0.634497677,-0.58587529,-0.533855298,-0.478481032,-0.419960093,-0.35872313,-0.295421855,-0.230801539,-0.165530387,NaN,NaN,NaN,NaN,NaN
-0.039979,-0.147505415,-0.223347297,-0.298301137,-0.371116979,-0.440507943,-0.505357793,-0.56480903,-0.618284087,-0.665472499,-0.706298456,-0.740880707,-0.769489667,-0.792506709,-0.81038694,-0.823627295,-0.832739876,-0.838230742,-0.84058337,-0.840246601,-0.837626534,-0.833081618,-0.826920196,-0.819400077,-0.810729496,-0.801068987,-0.79053396,-0.779197713,-0.767094585,-0.754223332,-0.740550732,-0.72601543,-0.710532154,-0.693996686,-0.676291812,-0.657294565,-0.636885039,-0.61495725,-0.591432328,-0.566274183,-0.539504532,-0.511206774,-0.481513369,-0.450582673,-0.418575834,-0.385639102,-0.351892888,-0.317427261,-0.282303408,-0.246560343,-0.210226553,-0.173336584,-0.135952727,-0.098189667,-0.060210321,NaN,NaN,NaN,NaN,NaN
-0.029991,0.09928191,0.030276368,-0.037898179,-0.104073042,-0.167038077,-0.225732274,-0.279324863,-0.327235849,-0.369125783,-0.404868357,-0.434516611,-0.458267486,-0.476429192,-0.489392477,-0.497604551,-0.501542904,-0.501692717,-0.498528948,-0.492503111,-0.484034247,-0.473503384,-0.461250801,-0.44757556,-0.432736649,-0.416955411,-0.40041885,-0.383283375,-0.365678762,-0.347712229,-0.329472378,-0.311032897,-0.292456028,-0.273795784,-0.255100874,-0.236417352,-0.21779112,-0.199270297,-0.180907415,-0.162761358,-0.144898055,-0.127386814,-0.110293753,-0.093675157,-0.077572309,-0.062007948,-0.046984308,-0.032482675,-0.018464342,-0.00487278,0.008362853,0.021322572,0.034088677,0.046737458,0.059330624,NaN,NaN,NaN,NaN,NaN
-0.019997,0.415795093,0.360012343,0.304936123,0.251538657,0.200807246,0.153586561,0.110515054,0.072011149,0.038285518,0.009367234,-0.014864571,-0.03464772,-0.050305753,-0.062219763,-0.070804173,-0.076486511,-0.079691208,-0.080826815,-0.080276433,-0.078390608,-0.075482132,-0.071822208,-0.067637394,-0.063106963,-0.058360408,-0.053474752,-0.048471531,-0.043313489,-0.037901027,-0.03206863,-0.025581761,-0.018134844,-0.009350943,0.00121587,0.014074362,0.029785034,0.048942824,0.072151818,0.099990277,0.132964418,0.171449447,0.215616347,0.265343651,0.320114538,0.378898744,0.440111198,0.502036198,0.563261037,0.6228917,0.680564796,0.736356697,0.790650188,0.843985416,0.896906057,NaN,NaN,NaN,NaN,NaN
-0.0099997,0.584742698,0.529169864,0.474235826,0.420816232,0.369812158,0.322024672,0.278114034,0.238601469,0.203892433,0.17430959,0.15012818,0.131609037,0.119025893,0.112684447,0.112931391,0.120151632,0.134751894,0.157129115,0.187622146,0.226445298,0.273602757,0.328783843,0.391239565,0.459639994,0.531942518,0.605576185,0.678017749,0.747155391,0.811375336,0.86953075,0.920880974,0.965035903,1.001890108,1.031555306,1.054300962,1.070506828,1.080628603,1.085176757,1.084708336,1.079824516,1.071153665,1.059322544,1.044927823,1.028514741,1.010563583,0.991482913,0.971608408,0.95120588,0.930476469,0.909563777,0.888562786,0.867529591,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,2.053237829,1.954383568,1.856738765,1.761971784,1.671750984,1.587476327,1.510178719,1.440507351,1.378758803,1.324928736,1.278770499,1.239854842,1.207624777,1.181444279,1.160638842,1.144528352,1.132452066,1.123786737,1.117958422,1.114449022,1.112798417,1.112603202,1.113512767,1.115223499,1.117471796,1.120026421,1.122680768,1.125245562,1.127542339,1.129397817,1.130639629,1.13109382,1.130584595,1.128936602,1.125980183,1.121560004,1.115547439,1.107857027,1.098467217,1.08743882,1.074911371,1.061081341,1.046175899,1.030430062,1.014068741,0.997293381,0.980272491,0.963134988,0.945965684,0.928803051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0099997,2.120939255,2.017764403,1.915849175,1.816925351,1.722718114,1.634669593,1.553836487,1.480878299,1.416088713,1.359450456,1.310697269,1.269376914,1.234908915,1.206635892,1.183866596,1.165911065,1.152107696,1.141843465,1.134567574,1.129799645,1.127133311,1.126236048,1.126845809,1.128764971,1.131852186,1.136012354,1.141184895,1.14733051,1.154416471,1.162400495,1.171213175,1.18073909,1.190799799,1.201152492,1.211506362,1.221546889,1.230963234,1.239478541,1.246883625,1.253067148,1.258019942,1.261816914,1.264591602,1.266512491,1.267763231,1.268526722,1.268972533,1.269246759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.019997,2.27736445,2.174652589,2.073271456,1.975063014,1.881875924,1.795271593,1.716413246,1.646050895,1.584551761,1.531955537,1.488037201,1.452371057,1.424389648,1.403436338,1.388809206,1.379796662,1.375704546,1.375875764,1.379703021,1.386635719,1.396181842,1.407905991,1.421424447,1.436398098,1.452524051,1.469526532,1.487147613,1.505138377,1.523250936,1.541232015,1.558818589,1.57573606,1.591699509,1.606418655,1.619607251,1.630997629,1.64036111,1.647534823,1.652455181,1.655187982,1.655924794,1.654950948,1.65260518,1.649242642,1.645203577,1.640787182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.029991,2.776172493,2.664155758,2.553580549,2.446446609,2.344760353,2.250214899,2.164069484,2.087133465,2.019799515,1.96210386,1.913794685,1.874402222,1.843303117,1.819777729,1.80305777,1.792364764,1.786939115,1.786061286,1.789065587,1.795347647,1.804366609,1.815643271,1.828755025,1.843328653,1.859031603,1.875562542,1.892641781,1.910002247,1.927381535,1.94451553,1.961134155,1.976960085,1.991710923,2.00510526,2.01687331,2.026773,2.0346121,2.040276846,2.043767556,2.045230431,2.044948449,2.043296965,2.04068792,2.037516675,2.034114054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.039979,3.213336501,3.096847134,2.981863887,2.870477962,2.764785334,2.666552215,2.577090309,2.497241276,2.427412052,2.367638158,2.317655251,2.276972345,2.244938955,2.220804787,2.203769323,2.193021954,2.187772362,2.18727259,2.190831119,2.197820347,2.207678482,2.219907312,2.234066728,2.249767017,2.266659703,2.284427762,2.302775881,2.321421481,2.34008697,2.358493893,2.376359618,2.393397171,2.409318905,2.423844631,2.436714911,2.447710089,2.456675722,2.463555024,2.468428277,2.471543486,2.473292901,2.474144007,2.474554768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
