NaN,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
-0.049958,-3.3381,-3.5267,-3.7135,-3.8954,-4.0694,-4.2331,-4.3843,-4.5217,-4.6445,-4.7528,-4.8467,-4.927,-4.9946,-5.0506,-5.0962,-5.1325,-5.1606,-5.1815,-5.1959,-5.2043,-5.2072,-5.2045,-5.1961,-5.1814,-5.1596,-5.1298,-5.0907,-5.0408,-4.9787,-4.9028,-4.8116,-4.7038,-4.5788,-4.4362,-4.2767,-4.1011,-3.9107,-3.7074,-3.4929,-3.2692,-3.0385,-2.8029,-2.5643,-2.3243,-2.0843,-1.8454,-1.6083,-1.3733,-1.1408,-0.91048,-0.68225,-0.45572,-0.23046,-0.0059664,NaN,NaN,NaN,NaN,NaN
-0.039979,-2.5125,-2.6666,-2.8189,-2.9672,-3.1089,-3.2418,-3.3641,-3.4748,-3.5732,-3.6593,-3.7333,-3.7958,-3.8477,-3.8898,-3.9233,-3.9492,-3.9687,-3.9826,-3.9919,-3.9974,-3.9998,-3.9995,-3.9968,-3.9919,-3.9848,-3.9752,-3.9626,-3.9463,-3.9255,-3.899,-3.8656,-3.8238,-3.772,-3.7086,-3.6319,-3.5404,-3.4329,-3.3086,-3.1673,-3.0099,-2.8376,-2.6524,-2.4562,-2.2514,-2.0399,-1.8235,-1.6039,-1.3824,-1.1599,-0.93721,-0.71478,-0.49286,-0.27152,-0.050612,NaN,NaN,NaN,NaN,NaN
-0.029991,-1.6095,-1.7326,-1.8542,-1.9725,-2.0853,-2.1909,-2.2879,-2.3752,-2.4525,-2.5197,-2.5769,-2.6246,-2.6635,-2.6943,-2.7179,-2.7351,-2.7468,-2.7538,-2.7569,-2.7568,-2.7541,-2.7493,-2.7429,-2.7351,-2.7262,-2.7163,-2.7054,-2.6934,-2.6801,-2.6651,-2.6479,-2.6279,-2.6043,-2.5763,-2.5429,-2.5031,-2.4557,-2.3997,-2.3339,-2.2576,-2.1699,-2.0704,-1.9587,-1.835,-1.6996,-1.5534,-1.3978,-1.2341,-1.0641,-0.88934,-0.71123,-0.5311,-0.34995,-0.16844,NaN,NaN,NaN,NaN,NaN
-0.019997,-0.57837,-0.67665,-0.7738,-0.8682,-0.95818,-1.0423,-1.1194,-1.1887,-1.2499,-1.3029,-1.3477,-1.3848,-1.4146,-1.4378,-1.4549,-1.4668,-1.474,-1.4771,-1.4768,-1.4736,-1.468,-1.4604,-1.4511,-1.4405,-1.4286,-1.4159,-1.4022,-1.3877,-1.3723,-1.3561,-1.339,-1.3207,-1.3011,-1.2801,-1.2573,-1.2324,-1.2053,-1.1755,-1.1429,-1.1071,-1.068,-1.0253,-0.9788,-0.92827,-0.87344,-0.81405,-0.74992,-0.68092,-0.60712,-0.52881,-0.44663,-0.36153,-0.27462,-0.18686,NaN,NaN,NaN,NaN,NaN
-0.0099997,0.51752,0.45542,0.39412,0.33469,0.27823,0.22567,0.17772,0.13483,0.097236,0.064964,0.037875,0.015702,-0.0019119,-0.015388,-0.025181,-0.031761,-0.035594,-0.037128,-0.036788,-0.034963,-0.032008,-0.028234,-0.023913,-0.019271,-0.014485,-0.0096858,-0.0049467,-0.00028612,0.0043403,0.0090454,0.014017,0.019525,0.02593,0.033684,0.043335,0.055526,0.070991,0.090536,0.11502,0.14534,0.18236,0.22688,0.27954,0.34075,0.41056,0.48849,0.5734,0.66345,0.75656,0.85098,0.94556,1.0397,1.1335,1.227,NaN,NaN,NaN,NaN,NaN
0,2.9667,2.8317,2.6984,2.5691,2.446,2.3312,2.2259,2.1312,2.0474,1.9744,1.912,1.8596,1.8163,1.7813,1.7536,1.7323,1.7165,1.7054,1.6981,1.6939,1.6923,1.6927,1.6945,1.6975,1.7013,1.7057,1.7103,1.7151,1.7198,1.7243,1.7285,1.7322,1.7354,1.7378,1.7394,1.7401,1.7398,1.7384,1.736,1.7325,1.7281,1.7229,1.7171,1.7107,1.7039,1.6969,1.6897,1.6825,1.6751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0099997,4.3708,4.2161,4.0633,3.9154,3.775,3.6445,3.5256,3.4195,3.3266,3.247,3.1804,3.126,3.083,3.0504,3.0271,3.0121,3.0042,3.0025,3.006,3.014,3.0257,3.0405,3.0577,3.0769,3.0975,3.1193,3.1417,3.1644,3.187,3.2091,3.2302,3.25,3.2679,3.2836,3.2965,3.3064,3.3129,3.316,3.3157,3.3122,3.3062,3.2983,3.2891,3.2794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.019997,6.4533,6.2552,6.0596,5.8701,5.6903,5.5232,5.3709,5.235,5.116,5.014,4.9285,4.8585,4.8031,4.7607,4.7301,4.7098,4.6985,4.6948,4.6977,4.706,4.7187,4.7352,4.7546,4.7764,4.8002,4.8255,4.852,4.8794,4.9076,4.9363,4.9655,4.9949,5.0245,5.0542,5.0839,5.1136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.029991,8.8757,8.6079,8.3435,8.0874,7.8443,7.6184,7.4126,7.2287,7.0677,6.9295,6.8135,6.7184,6.6426,6.5844,6.5417,6.5125,6.495,6.4874,6.4877,6.4947,6.5068,6.5228,6.5417,6.5626,6.5848,6.6078,6.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.039979,11.299,10.966,10.638,10.321,10.019,9.739,9.4839,9.2559,9.0558,8.8835,8.7376,8.6164,8.5172,8.4374,8.3739,8.3239,8.2843,8.2525,8.2259,8.2026,8.1808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.049958,12.554,12.293,12.033,11.779,11.535,11.305,11.093,10.898,10.724,10.568,10.429,10.306,10.196,10.096,10.004,9.9157,9.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
