NaN,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
-0.049958,-0.14132219,-0.204779443,-0.267488266,-0.328414061,-0.386497784,-0.440829798,-0.490717177,-0.535700769,-0.575541197,-0.610191735,-0.639763495,-0.664490144,-0.684693619,-0.700753723,-0.713081762,-0.722098886,-0.728218965,-0.731835693,-0.733313563,-0.73298197,-0.731132075,-0.728015701,-0.723845949,-0.718799027,-0.713016976,-0.706610866,-0.699664432,-0.692237791,-0.684370876,-0.676086046,-0.667390118,-0.658276232,-0.648725579,-0.638709123,-0.628189365,-0.617122284,-0.605459544,-0.593151111,-0.580148416,-0.566408304,-0.551897897,-0.536600519,-0.520522909,-0.503702518,-0.486207866,-0.468130254,-0.449572518,-0.430638585,-0.411425481,-0.392017866,-0.372484899,-0.352879098,-0.333236946,-0.313580675,NaN,NaN,NaN,NaN,NaN
-0.039979,0.022112421,-0.036921078,-0.095254679,-0.15192088,-0.205929549,-0.256429491,-0.302771612,-0.344524795,-0.381463119,-0.413540596,-0.44085886,-0.463634328,-0.482166354,-0.49680898,-0.507946458,-0.515973149,-0.521277594,-0.524230455,-0.525176067,-0.524426907,-0.522260582,-0.518918745,-0.514607556,-0.509499176,-0.503733986,-0.497423197,-0.490651658,-0.483480563,-0.475950084,-0.468081757,-0.459880633,-0.45133714,-0.442428803,-0.433121829,-0.423372666,-0.413129608,-0.402334619,-0.390925581,-0.37883907,-0.366013874,-0.352395375,-0.337941084,-0.322627522,-0.306458022,-0.289466695,-0.271717635,-0.253302484,-0.234333083,-0.214929713,-0.195209242,-0.175275501,-0.155212993,-0.135083902,-0.114928038,NaN,NaN,NaN,NaN,NaN
-0.029991,0.186897619,1.32E-01,0.077464012,0.024618796,-0.025762302,-0.072890508,-0.116163937,-0.15518168,-0.189731682,-0.219766846,-0.24537475,-0.26674673,-0.284147872,-0.297890255,-0.308309823,-0.315747423,-0.320533915,-0.322979097,-0.323364362,-0.321938448,-0.318915988,-0.314478433,-0.308777091,-0.301937894,-0.294067728,-0.285262135,-0.275613705,-0.265216897,-0.254167476,-0.242560378,-0.230487942,-0.218038719,-0.205296735,-0.192340946,-0.179244929,-0.16607678,-0.152899192,-0.139769676,-0.12674081,-0.113860472,-0.101172012,-0.088714418,-0.076522508,-0.064627003,-0.053053044,-0.041817259,-0.030924856,-0.020367617,-0.010123201,-0.000155828,0.009581675,0.0191444,0.028590288,0.037973359,NaN,NaN,NaN,NaN,NaN
-0.019997,0.365729303,0.319225981,0.273305236,0.228765625,0.186417554,0.146953151,0.110895218,0.078585882,0.050197466,0.025753858,0.005156854,-0.011786883,-0.025340044,-0.035811646,-0.043537157,-0.048862029,-0.052128443,-0.053665099,-0.053779713,-0.052753617,-0.050838011,-0.048251461,-0.045178262,-0.041767267,-0.038130908,-0.034344226,-0.030443773,-0.026426237,-0.022246901,-0.017818085,-0.013007815,-0.007638999,-0.001489627,0.005705472,0.014250705,0.024482926,0.036760774,0.051449167,0.068897961,0.08941377,0.113223941,0.140431953,0.170963917,0.204505938,0.240432303,0.277774495,0.315464579,0.352608776,0.388627628,0.423272746,0.4565739,0.488759566,0.520168031,0.55115559,NaN,NaN,NaN,NaN,NaN
-0.0099997,0.486948532,0.441827674,0.39723418,0.353886995,0.31251848,0.273767465,0.238142701,0.206021694,0.17766763,0.153254631,0.132895557,0.116668616,0.1046403,0.096883009,0.093486127,0.094559521,0.100228595,0.110619955,0.125837027,0.145925053,0.170825092,0.200317246,0.233952956,0.270976289,0.310245156,0.350316343,0.389784096,0.427493988,0.462588183,0.494482124,0.522824932,0.547463802,0.568403444,0.585764224,0.599744339,0.61058782,0.618558832,0.623922401,0.626931435,0.62781962,0.626799798,0.624067367,0.619808368,0.614210728,0.60746879,0.59977829,0.591327862,0.582291099,0.572820969,0.563046579,0.553072029,0.542976931,0.53281821,0.52263265,NaN,NaN,NaN,NaN,NaN
0,1.333008583,1.260025324,1.18794776,1.117996586,1.051388339,0.989137102,0.931986468,0.880399422,0.834582103,0.79452085,0.760026098,0.730775452,0.706354332,0.686291276,0.670087865,0.65724277,0.647270277,0.639713767,0.63415469,0.630217971,0.62757433,0.625940301,0.625076445,0.624784352,0.624902752,0.625303252,0.625885912,0.62657491,0.627314413,0.628064821,0.628799445,0.629501664,0.630162639,0.630779492,0.631353995,0.631891748,0.632401803,0.632896676,0.633392744,0.63391097,0.634477902,0.635126849,0.635898999,0.636842835,0.638004275,0.63941337,0.64107955,0.64299273,0.645127571,0.647448194,0.649912848,0.652478394,0.655104609,0.657758078,NaN,NaN,NaN,NaN,NaN
0.0099997,1.368571921,1.29284869,1.218061519,1.145467794,1.076318052,1.011653779,0.952239587,0.898554521,0.85081824,0.809030559,0.773017919,0.74247879,0.717026316,0.696225226,0.679622838,0.666773545,0.657257063,0.650690773,0.646736447,0.645102132,0.645539414,0.647836651,0.651808528,0.657284509,0.664103259,0.672112672,0.681170009,0.691141005,0.701898105,0.713318313,0.725280696,0.73766371,0.7503426,0.763187117,0.776059834,0.788815379,0.801300894,0.81335801,0.824826747,0.835551669,0.845390697,0.854226991,0.86198422,0.868643509,0.874249211,0.878899325,0.882729276,0.885895065,0.888558616,0.89087555,0.892985034,0.895001221,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.019997,1.587440973,1.509397823,1.432379187,1.357763705,1.286928344,1.221025914,1.160909335,1.107119761,1.059912844,1.019299524,0.985094564,0.956963971,0.934469902,0.917109774,0.904349543,0.895650508,0.890490016,0.88837659,0.888859905,0.891536612,0.89605265,0.902102849,0.909428388,0.917812797,0.927076742,0.937072175,0.947676125,0.958784472,0.970305886,0.982156115,0.994252713,1.006510361,1.018837002,1.031130917,1.043279009,1.055156501,1.066628261,1.077551994,1.087783592,1.09718503,1.105635176,1.113043862,1.119369504,1.124638019,1.128946917,1.13245032,1.135335632,1.137799072,1.140023353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.029991,1.893088138,1.809690732,1.727396827,1.647681694,1.572014558,1.501621768,1.437407995,1.37994456,1.329498396,1.28607602,1.249475863,1.219339321,1.19519902,1.176520645,1.162738372,1.153283145,1.147604343,1.145185411,1.145553926,1.148287226,1.153014036,1.159413235,1.167210897,1.176176385,1.186117301,1.19687371,1.208311837,1.22031756,1.232790024,1.245635743,1.258763187,1.272078009,1.285479221,1.29885647,1.312088644,1.325044048,1.337582479,1.349559446,1.360832899,1.371272819,1.380774056,1.389272737,1.396766544,1.403335785,1.409143471,1.414408197,1.419364215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.039979,2.228511309,2.137838911,2.048380101,1.961751163,1.879558619,1.803140138,1.73347984,1.671196104,1.616573852,1.569612721,1.530084427,1.497588531,1.471605164,1.451540629,1.436766091,1.426648633,1.42057515,1.417969774,1.41830545,1.421110835,1.425973009,1.432537277,1.440504528,1.449627031,1.459703093,1.470571241,1.482104044,1.494201945,1.50678734,1.519799066,1.533187508,1.546910414,1.560929435,1.575207419,1.589706547,1.604387414,1.619209109,1.634130343,1.649111814,1.664119815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
