NaN,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
-0.049958,-0.98852,-1.0977,-1.2058,-1.3109,-1.4114,-1.5057,-1.5928,-1.6718,-1.7422,-1.8042,-1.8577,-1.9032,-1.9413,-1.9727,-1.9979,-2.0178,-2.0331,-2.0445,-2.0524,-2.0576,-2.0605,-2.0614,-2.0606,-2.0583,-2.0547,-2.0496,-2.043,-2.0346,-2.0243,-2.0115,-1.9959,-1.9768,-1.9539,-1.9263,-1.8938,-1.8556,-1.8115,-1.7612,-1.7048,-1.6425,-1.5748,-1.502,-1.4247,-1.3437,-1.2595,-1.1728,-1.0844,-0.99465,-0.90414,-0.81319,-0.72205,-0.63087,-0.53971,-0.44859,NaN,NaN,NaN,NaN,NaN
-0.039979,-0.65361,-0.74852,-0.84236,-0.93363,-1.0208,-1.1025,-1.1778,-1.2459,-1.3065,-1.3595,-1.4051,-1.4437,-1.4756,-1.5015,-1.522,-1.5377,-1.5492,-1.5571,-1.5621,-1.5646,-1.565,-1.5638,-1.5613,-1.5577,-1.5534,-1.5484,-1.5428,-1.5367,-1.5301,-1.5229,-1.5151,-1.5063,-1.4964,-1.4851,-1.4719,-1.4565,-1.4384,-1.4171,-1.3921,-1.3628,-1.3287,-1.2895,-1.2448,-1.1946,-1.139,-1.0784,-1.0135,-0.94485,-0.87329,-0.79949,-0.7241,-0.64769,-0.57068,-0.49341,NaN,NaN,NaN,NaN,NaN
-0.029991,-0.30272,-0.38332,-0.46298,-0.54039,-0.61421,-0.68331,-0.74681,-0.80412,-0.85495,-0.89925,-0.93714,-0.96894,-0.99504,-1.0159,-1.0321,-1.0442,-1.0526,-1.058,-1.0606,-1.0611,-1.0597,-1.0567,-1.0525,-1.0473,-1.0412,-1.0345,-1.0271,-1.0193,-1.011,-1.0023,-0.99314,-0.98351,-0.97336,-0.96261,-0.95117,-0.93893,-0.92576,-0.91152,-0.89606,-0.87923,-0.86088,-0.84089,-0.81915,-0.7956,-0.77025,-0.74312,-0.71428,-0.68383,-0.65187,-0.61854,-0.58404,-0.54858,-0.51246,-0.47598,NaN,NaN,NaN,NaN,NaN
-0.019997,0.1028,0.033969,-0.034042,-0.10011,-0.16307,-0.22194,-0.27597,-0.32466,-0.36774,-0.40518,-0.43708,-0.46372,-0.48543,-0.50263,-0.51578,-0.52533,-0.53173,-0.53542,-0.53678,-0.53618,-0.53395,-0.53035,-0.52563,-0.51997,-0.51354,-0.50646,-0.49882,-0.49069,-0.48211,-0.4731,-0.46367,-0.45379,-0.44344,-0.43257,-0.42113,-0.40906,-0.3963,-0.38277,-0.3684,-0.35314,-0.33693,-0.31975,-0.30161,-0.28254,-0.26264,-0.24202,-0.22083,-0.19921,-0.17729,-0.15519,-0.13298,-0.11074,-0.088475,-0.066216,NaN,NaN,NaN,NaN,NaN
-0.0099997,0.53564,0.48258,0.43017,0.37931,0.33088,0.28564,0.24413,0.2067,0.17352,0.14456,0.1197,0.098684,0.081214,0.066936,0.055484,0.0465,0.039647,0.034625,0.031187,0.029142,0.028366,0.028806,0.030482,0.03349,0.037997,0.044237,0.052509,0.063158,0.076562,0.093109,0.11317,0.13707,0.16501,0.19708,0.23311,0.27265,0.31488,0.35848,0.40181,0.4433,0.48168,0.51606,0.54592,0.57107,0.59155,0.60766,0.61981,0.62853,0.63441,0.63806,0.64007,0.64098,0.64124,0.6412,NaN,NaN,NaN,NaN,NaN
0,1.5633,1.4758,1.3895,1.3056,1.2258,1.1512,1.0826,1.0207,0.96561,0.91737,0.87574,0.84033,0.81065,0.78614,0.76622,0.75031,0.73788,0.72841,0.72146,0.71665,0.71365,0.71222,0.71217,0.71336,0.71571,0.71919,0.72378,0.72949,0.73632,0.74427,0.75328,0.76329,0.77417,0.78578,0.79794,0.81047,0.82316,0.83578,0.84813,0.85998,0.87114,0.88146,0.89081,0.89915,0.90649,0.91291,0.91854,0.92351,0.92798,0.93211,0.93602,0.93982,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0099997,2.1636,2.0668,1.9712,1.8787,1.7908,1.709,1.6344,1.5676,1.5088,1.4582,1.4155,1.3802,1.3518,1.3297,1.3133,1.3018,1.2947,1.2913,1.291,1.2935,1.2982,1.3048,1.313,1.3224,1.3329,1.3443,1.3564,1.3691,1.3823,1.3958,1.4097,1.4237,1.4378,1.4518,1.4657,1.4793,1.4925,1.5051,1.517,1.528,1.5381,1.5472,1.5553,1.5626,1.5692,1.5753,1.5812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.019997,3.0551,2.9361,2.8187,2.705,2.5971,2.4967,2.4051,2.3231,2.251,2.1889,2.1365,2.0931,2.0582,2.0309,2.0104,1.9958,1.9865,1.9816,1.9804,1.9824,1.9869,1.9935,2.0019,2.0117,2.0226,2.0345,2.0472,2.0605,2.0744,2.0888,2.1037,2.119,2.1347,2.1508,2.1672,2.1839,2.2009,2.218,2.2353,2.2528,2.2703,2.2878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.029991,4.0973,3.9436,3.792,3.6451,3.5057,3.3759,3.2575,3.1513,3.058,2.9774,2.9092,2.8527,2.8069,2.7708,2.7435,2.7238,2.7106,2.7031,2.7002,2.7013,2.7057,2.7126,2.7216,2.7324,2.7445,2.7576,2.7716,2.7863,2.8015,2.8171,2.833,2.8492,2.8656,2.8821,2.8987,2.9154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.039979,5.0888,4.9053,4.7243,4.5489,4.3825,4.2277,4.0865,3.96,3.8487,3.7528,3.6716,3.6043,3.5498,3.5071,3.4746,3.4513,3.4357,3.4268,3.4234,3.4246,3.4295,3.4374,3.4476,3.4596,3.4729,3.4872,3.5022,3.5175,3.5332,3.5489,3.5647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
